,0
0,550
1,550
2,550
3,550
4,550
5,550
6,550
7,550
8,550
9,20
10,560
11,550
12,550
13,550
14,550
15,530
16,550
17,550
18,530
19,560
20,560
21,530
22,550
23,20
24,550
25,560
26,550
27,560
28,550
29,560
30,550
31,550
32,560
33,550
34,550
35,550
36,550
37,280
38,280
39,530
40,550
41,550
42,530
43,550
44,550
45,550
46,550
47,550
48,550
49,550
50,550
51,550
52,530
53,550
54,530
55,530
56,550
57,20
58,550
59,280
60,550
61,550
62,530
63,530
64,550
65,550
66,550
67,550
68,550
69,550
70,550
71,550
72,280
73,550
74,550
75,550
76,550
77,530
78,550
79,550
80,550
81,530
82,560
83,550
84,550
85,550
86,550
87,560
88,550
89,530
90,550
91,530
92,550
93,550
94,550
95,20
96,20
97,560
98,550
99,560
100,530
101,560
102,560
103,550
104,530
105,550
106,20
107,720
108,550
109,550
110,530
111,550
112,550
113,550
114,560
115,550
116,560
117,550
118,550
119,530
120,550
121,550
122,530
123,550
124,550
125,280
126,550
127,550
128,530
129,780
130,550
131,550
132,550
133,530
134,560
135,530
136,20
137,550
138,530
139,20
140,20
141,280
142,530
143,20
144,530
145,530
146,530
147,550
148,550
149,550
150,530
151,550
152,550
153,530
154,550
155,550
156,550
157,550
158,530
159,550
160,550
161,550
162,550
163,550
164,550
165,550
166,280
167,550
168,20
169,550
170,560
171,550
172,550
173,560
174,20
175,530
176,550
177,20
178,20
179,420
180,530
181,550
182,550
183,550
184,530
185,560
186,550
187,530
188,530
189,530
190,550
191,280
192,550
193,560
194,550
195,550
196,550
197,550
198,530
199,530
200,550
201,550
202,780
203,530
204,550
205,560
206,550
207,550
208,280
209,720
210,530
211,550
212,550
213,550
214,280
215,550
216,550
217,530
218,550
219,280
220,780
221,550
222,20
223,560
224,280
225,550
226,550
227,550
228,560
229,550
230,420
231,530
232,530
233,550
234,20
235,530
236,530
237,530
238,20
239,280
240,550
241,550
242,550
243,550
244,530
245,550
246,530
247,20
248,550
249,550
250,550
251,530
252,550
253,550
254,560
255,280
256,20
257,550
258,280
259,550
260,280
261,550
262,530
263,530
264,550
265,550
266,530
267,550
268,550
269,550
270,560
271,20
272,550
273,280
274,20
275,550
276,550
277,550
278,20
279,550
280,530
281,530
282,550
283,550
284,550
285,550
286,530
287,550
288,530
289,20
290,560
291,550
292,550
293,530
294,530
295,550
296,550
297,550
298,280
299,550
300,550
301,550
302,280
303,530
304,550
305,550
306,20
307,530
308,280
309,550
310,530
311,550
312,550
313,550
314,550
315,550
316,530
317,550
318,550
319,550
320,550
321,550
322,530
323,530
324,530
325,280
326,550
327,530
328,550
329,550
330,530
331,550
332,550
333,280
334,560
335,550
336,280
337,550
338,530
339,550
340,550
341,20
342,550
343,420
344,550
345,550
346,550
347,550
348,550
349,530
350,780
351,550
352,550
353,20
354,530
355,550
356,720
357,560
358,550
359,20
360,550
361,530
362,550
363,560
364,550
365,280
366,550
367,560
368,550
369,560
370,550
371,550
372,530
373,550
374,530
375,530
376,550
377,530
378,550
379,20
380,720
381,560
382,530
383,550
384,530
385,550
386,530
387,550
388,20
389,530
390,560
391,550
392,550
393,530
394,550
395,280
396,280
397,530
398,550
399,530
400,530
401,550
402,550
403,560
404,550
405,720
406,550
407,530
408,530
409,280
410,560
411,550
412,550
413,550
414,560
415,550
416,530
417,550
418,20
419,550
420,560
421,560
422,530
423,550
424,530
425,530
426,550
427,560
428,530
429,550
430,550
431,530
432,550
433,550
434,550
435,530
436,550
437,550
438,720
439,550
440,530
441,280
442,20
443,550
444,560
445,550
446,20
447,20
448,550
449,550
450,530
451,530
452,550
453,530
454,530
455,550
456,530
457,20
458,550
459,20
460,550
461,550
462,550
463,550
464,20
465,550
466,530
467,530
468,550
469,280
470,560
471,550
472,550
473,550
474,550
475,550
476,280
477,550
478,780
479,560
480,530
481,280
482,20
483,530
484,530
485,550
486,530
487,720
488,530
489,560
490,550
491,550
492,530
493,280
494,550
495,560
496,530
497,550
498,550
499,20
500,530
501,530
502,20
503,530
504,20
505,530
506,280
507,550
508,550
509,550
510,550
511,560
512,530
513,280
514,560
515,550
516,90
517,550
518,550
519,550
520,550
521,550
522,550
523,20
524,560
525,550
526,20
527,550
528,560
529,530
530,550
531,550
532,280
533,550
534,550
535,550
536,20
537,550
538,550
539,20
540,550
541,550
542,550
543,530
544,530
545,550
546,530
547,530
548,550
549,550
550,530
551,560
552,530
553,550
554,20
555,550
556,550
557,550
558,550
559,560
560,550
561,550
562,550
563,550
564,550
565,20
566,560
567,550
568,20
569,530
570,550
571,550
572,550
573,550
574,530
575,550
576,550
577,550
578,560
579,550
580,530
581,550
582,550
583,550
584,280
585,550
586,560
587,550
588,280
589,530
590,530
591,550
592,550
593,550
594,20
595,550
596,530
597,550
598,280
599,550
600,550
601,550
602,530
603,550
604,550
605,530
606,550
607,550
608,530
609,280
610,550
611,550
612,550
613,550
614,530
615,550
616,530
617,550
618,550
619,550
620,560
621,530
622,20
623,550
624,280
625,550
626,550
627,280
628,530
629,550
630,20
631,530
632,530
633,530
634,550
635,550
636,560
637,550
638,550
639,550
640,550
641,20
642,550
643,550
644,550
645,560
646,550
647,280
648,530
649,550
650,550
651,550
652,530
653,530
654,550
655,550
656,560
657,280
658,550
659,560
660,20
661,20
662,20
663,280
664,550
665,550
666,20
667,20
668,530
669,560
670,550
671,550
672,280
673,530
674,530
675,560
676,530
677,550
678,530
679,280
680,530
681,530
682,720
683,550
684,280
685,550
686,530
687,530
688,550
689,530
690,550
691,560
692,550
693,550
694,550
695,530
696,550
697,550
698,550
699,550
700,530
701,550
702,720
703,20
704,550
705,550
706,550
707,550
708,550
709,550
710,550
711,550
712,20
713,530
714,550
715,550
716,530
717,530
718,530
719,560
720,550
721,550
722,530
723,20
724,560
725,530
726,20
727,550
728,20
729,550
730,530
731,550
732,550
733,550
734,550
735,560
736,550
737,560
738,550
739,530
740,550
741,550
742,550
743,550
744,530
745,550
746,530
747,530
748,280
749,530
750,550
751,550
752,550
753,550
754,550
755,530
756,20
757,20
758,90
759,530
760,550
761,280
762,550
763,550
764,550
765,550
766,530
767,550
768,20
769,560
770,530
771,530
772,550
773,530
774,550
775,550
776,560
777,530
778,280
779,550
780,20
781,550
782,20
783,560
784,550
785,550
786,530
787,550
788,530
789,550
790,530
791,530
792,550
793,20
794,550
795,550
796,550
797,720
798,550
799,560
800,720
801,550
802,550
803,560
804,550
805,550
806,550
807,720
808,530
809,550
810,550
811,550
812,550
813,530
814,550
815,550
816,530
817,550
818,550
819,530
820,550
821,550
822,550
823,560
824,20
825,530
826,560
827,20
828,530
829,550
830,560
831,530
832,560
833,550
834,550
835,550
836,280
837,530
838,550
839,560
840,550
841,550
842,530
843,530
844,560
845,550
846,550
847,550
848,280
849,550
850,20
851,560
852,550
853,530
854,550
855,550
856,530
857,560
858,280
859,550
860,550
861,530
862,550
863,530
864,550
865,550
866,550
867,530
868,550
869,20
870,550
871,550
872,530
873,550
874,280
875,560
876,550
877,530
878,550
879,550
880,550
881,710
882,550
883,530
884,530
885,560
886,530
887,20
888,560
889,550
890,550
891,550
892,550
893,20
894,560
895,530
896,280
897,560
898,560
899,550
900,550
901,550
902,550
903,550
904,530
905,20
906,550
907,530
908,550
909,530
910,20
911,20
912,530
913,20
914,280
915,20
916,530
917,420
918,550
919,550
920,720
921,530
922,550
923,550
924,550
925,280
926,560
927,550
928,20
929,550
930,550
931,560
932,530
933,280
934,550
935,20
936,550
937,530
938,20
939,550
940,550
941,90
942,550
943,550
944,280
945,550
946,550
947,550
948,550
949,550
950,550
951,280
952,530
953,550
954,530
955,530
956,550
957,560
958,550
959,560
960,550
961,530
962,530
963,720
964,550
965,280
966,530
967,530
968,560
969,530
970,280
971,550
972,530
973,550
974,720
975,550
976,550
977,560
978,560
979,530
980,530
981,550
982,780
983,720
984,550
985,550
986,550
987,550
988,550
989,530
990,530
991,550
992,550
993,20
994,550
995,530
996,560
997,550
998,560
999,20
1000,550
1001,550
1002,280
1003,280
1004,560
1005,550
1006,560
1007,550
1008,550
1009,530
1010,530
1011,560
1012,530
1013,550
1014,530
1015,530
1016,530
1017,550
1018,550
1019,530
1020,550
1021,550
1022,20
1023,20
1024,550
1025,550
1026,550
1027,550
1028,530
1029,550
1030,550
1031,550
1032,550
1033,560
1034,550
1035,20
1036,550
1037,20
1038,550
1039,550
1040,20
1041,530
1042,550
1043,530
1044,530
1045,550
1046,550
1047,530
1048,530
1049,280
1050,550
1051,550
1052,20
1053,560
1054,20
1055,550
1056,530
1057,530
1058,550
1059,550
1060,530
1061,550
1062,550
1063,550
1064,550
1065,550
1066,550
1067,280
1068,550
1069,560
1070,530
1071,550
1072,550
1073,550
1074,20
1075,550
1076,720
1077,550
1078,280
1079,20
1080,550
1081,550
1082,530
1083,530
1084,550
1085,20
1086,550
1087,550
1088,560
1089,820
1090,530
1091,550
1092,530
1093,550
1094,550
1095,550
1096,550
1097,530
1098,530
1099,550
1100,530
1101,550
1102,550
1103,530
1104,550
1105,550
1106,550
1107,550
1108,280
1109,530
1110,550
