Observation,Energy
50001,92.05673675
50002,98.04408596
50003,104.5394689
50004,100.7413705
50005,92.06685129
50006,99.69510591
50007,104.5982208
50008,90.75766216
50009,94.99129333
50010,87.53045454
50011,104.4093932
50012,99.14609227
50013,103.6096288
50014,100.8070359
50015,96.20091088
50016,91.22346691
50017,91.94765777
50018,98.22311562
50019,89.51104985
50020,107.2386106
50021,113.9152991
50022,93.02190887
50023,101.8122645
50024,88.08333841
50025,99.93960064
50026,102.4969748
50027,99.28413218
50028,100.791833
50029,94.33599313
50030,95.93520229
50031,94.74203751
50032,99.23083476
50033,98.74663314
50034,95.29518882
50035,100.6823518
50036,95.82994279
50037,93.58021175
50038,98.20978895
50039,99.61004295
50040,95.62077443
50041,98.98984186
50042,100.2597996
50043,93.22690413
50044,92.77162127
50045,102.6423584
50046,97.0271162
50047,98.23353384
50048,93.98579234
50049,96.43064311
50050,93.76361719
50051,106.593828
50052,94.85640598
50053,92.48497566
50054,97.98160016
50055,93.12484624
50056,90.42386872
50057,95.00861433
50058,92.28968542
50059,94.25112211
50060,97.64178682
50061,93.5229331
50062,90.00236035
50063,92.9940818
50064,98.664238
50065,93.76599308
50066,100.8058913
50067,93.06098344
50068,97.70133939
50069,107.8159468
50070,94.21090928
50071,95.20226734
50072,97.6870218
50073,99.27823952
50074,91.31207548
50075,93.63094376
50076,103.5530565
50077,104.1870985
50078,98.40244014
50079,94.18852157
50080,95.44544147
50081,98.01599328
50082,89.17741527
50083,98.29991056
50084,92.64226903
50085,93.44862014
50086,92.9682351
50087,102.6869645
50088,98.97163721
50089,102.1253871
50090,90.88382256
50091,94.00594548
50092,94.38105354
50093,98.93676982
50094,93.68177971
50095,95.93717393
50096,88.55796258
50097,87.91735831
50098,113.7737907
50099,98.76748382
50100,106.0259639
50101,91.78047905
50102,100.5107188
50103,109.2360389
50104,93.57486606
50105,87.47972283
50106,90.12419361
50107,90.31011336
50108,102.54177
50109,92.91421731
50110,98.28665132
50111,93.69904076
50112,94.17114798
50113,93.25317361
50114,99.90397973
50115,105.8222055
50116,93.88138569
50117,107.187873
50118,97.9598815
50119,98.9588628
50120,90.57447701
50121,100.0164921
50122,95.93632021
50123,88.3539523
50124,98.19335937
50125,96.04256774
50126,96.9097864
50127,93.85856807
50128,92.06582413
50129,95.86230688
50130,95.88898961
50131,97.78815294
50132,103.7058794
50133,92.51771309
50134,95.5633417
50135,101.2512546
50136,90.43605262
50137,91.69968855
50138,98.13975576
50139,90.40325786
50140,86.68076743
50141,85.06098394
50142,98.5180696
