,0
0,50
1,50
2,60
3,60
4,50
5,60
6,120
7,40
8,50
9,40
10,50
11,70
12,50
13,50
14,50
15,80
16,50
17,50
18,50
19,60
20,60
21,50
22,60
23,50
24,90
25,80
26,50
27,60
28,50
29,50
30,50
31,60
32,60
33,50
34,50
35,50
36,50
37,60
38,80
39,50
40,50
41,50
42,40
43,50
44,90
45,40
46,50
47,50
48,50
49,50
50,60
51,50
52,50
53,60
54,50
55,50
56,50
57,90
58,60
59,60
60,50
61,50
62,40
63,60
64,50
65,50
66,50
67,50
68,90
69,50
70,70
71,50
72,110
73,50
74,50
75,60
76,50
77,70
78,140
79,60
80,60
81,50
82,50
83,50
84,70
85,60
86,100
87,60
88,60
89,60
90,50
91,60
92,70
93,50
94,50
95,40
96,40
97,80
98,60
99,70
100,50
101,60
102,70
103,50
104,50
105,40
106,50
107,60
108,50
109,60
110,60
111,70
112,50
113,70
114,60
115,50
116,70
117,50
118,50
119,50
120,50
121,70
122,60
123,100
124,50
125,60
126,70
127,50
128,100
129,50
130,70
131,50
132,50
133,50
134,50
135,50
136,90
137,60
138,40
139,40
140,40
141,50
142,50
143,40
144,80
145,50
146,60
147,100
148,100
149,100
150,50
151,50
152,90
153,60
154,40
155,50
156,70
157,70
158,50
159,50
160,60
161,50
162,50
163,80
164,60
165,70
166,80
167,90
168,50
169,50
170,50
171,60
172,50
173,60
174,40
175,50
176,60
177,40
178,50
179,110
180,50
181,70
182,50
183,50
184,50
185,100
186,70
187,50
188,60
189,50
190,60
191,50
192,60
193,100
194,50
195,50
196,50
197,120
198,50
199,50
200,60
201,50
202,70
203,50
204,60
205,70
206,50
207,120
208,60
209,90
210,60
211,40
212,50
213,50
214,60
215,50
216,50
217,50
218,80
219,60
220,50
221,60
222,40
223,80
224,60
225,70
226,60
227,50
228,60
229,60
230,50
231,260
232,60
233,40
234,50
235,50
236,50
237,60
238,50
239,60
240,50
241,50
242,50
243,50
244,60
245,50
246,50
247,40
248,100
249,70
250,50
251,50
252,50
253,50
254,60
255,50
256,40
257,70
258,60
259,70
260,60
261,50
262,50
263,50
264,50
265,50
266,60
267,100
268,70
269,50
270,100
271,120
272,50
273,60
274,40
275,50
276,320
277,40
278,40
279,50
280,50
281,60
282,70
283,90
284,50
285,50
286,40
287,70
288,50
289,50
290,60
291,50
292,60
293,40
294,60
295,50
296,50
297,50
298,70
299,50
300,90
301,110
302,50
303,70
304,50
305,100
306,40
307,50
308,60
309,50
310,90
311,60
312,50
313,70
314,40
315,90
316,60
317,60
318,50
319,50
320,50
321,50
322,50
323,40
324,90
325,60
326,40
327,60
328,50
329,50
330,40
331,50
332,60
333,60
334,250
335,50
336,50
337,50
338,40
339,60
340,40
341,40
342,50
343,90
344,50
345,70
346,50
347,50
348,50
349,60
350,70
351,60
352,50
353,50
354,50
355,70
356,270
357,60
358,70
359,40
360,60
361,50
362,50
363,60
364,60
365,60
366,70
367,60
368,50
369,60
370,550
371,50
372,60
373,50
374,60
375,50
376,70
377,50
378,50
379,90
380,90
381,60
382,40
383,60
384,60
385,50
386,60
387,50
388,40
389,50
390,90
391,50
392,50
393,50
394,110
395,60
396,50
397,50
398,50
399,40
400,50
401,60
402,90
403,80
404,50
405,100
406,50
407,260
408,100
409,50
410,50
411,110
412,50
413,90
414,70
415,60
416,60
417,70
418,40
419,120
420,60
421,60
422,60
