,0
0,30
1,90
2,40
3,60
4,30
5,60
6,110
7,60
8,60
9,50
10,50
11,70
12,40
13,50
14,60
15,120
16,60
17,390
18,60
19,70
20,70
21,210
22,100
23,40
24,60
25,70
26,150
27,490
28,40
29,50
30,50
31,90
32,70
33,40
34,100
35,50
36,40
37,50
38,60
39,30
40,60
41,60
42,60
43,370
44,80
45,30
46,50
47,130
48,40
49,90
50,440
51,40
52,50
53,130
54,100
55,50
56,30
57,160
58,60
59,630
60,90
61,50
62,40
63,80
64,30
65,40
66,90
67,60
68,110
69,60
70,270
71,50
72,150
73,30
74,40
75,50
76,50
77,110
78,140
79,30
80,50
81,50
82,60
83,40
84,60
85,50
86,100
87,60
88,40
89,200
90,40
91,50
92,260
93,120
94,70
95,40
96,50
97,40
98,80
99,110
100,40
101,60
102,70
103,280
104,80
105,50
106,50
107,100
108,60
109,30
110,50
111,190
112,60
113,60
114,60
115,60
116,60
117,60
118,50
119,90
120,80
121,50
122,70
123,80
124,60
125,130
126,60
127,40
128,150
129,50
130,130
131,40
132,50
133,90
134,60
135,90
136,340
137,60
138,40
139,50
140,90
141,110
142,70
143,20
144,80
145,30
146,100
147,60
148,100
149,110
150,210
151,50
152,140
153,50
154,40
155,60
156,120
157,90
158,40
159,60
160,60
161,50
162,40
163,80
164,120
165,110
166,60
167,90
168,50
169,30
170,50
171,60
172,60
173,70
174,80
175,130
176,50
177,40
178,20
179,150
180,240
181,150
182,50
183,50
184,50
185,110
186,110
187,20
188,70
189,80
190,20
191,50
192,20
193,100
194,60
195,50
196,50
197,140
198,50
199,380
200,60
201,60
202,250
203,20
204,60
205,100
206,40
207,120
208,310
209,90
210,70
211,60
212,240
213,50
214,130
215,50
216,20
217,50
218,90
219,60
220,90
221,50
222,20
223,90
224,50
225,100
226,130
227,100
228,60
229,200
230,740
231,60
232,60
233,90
234,220
235,160
236,50
237,50
238,30
239,70
240,30
241,70
242,50
243,50
244,50
245,140
246,90
247,60
248,590
249,340
250,40
251,50
252,80
253,60
254,70
255,60
256,30
257,380
258,80
259,100
260,90
261,40
262,70
263,40
264,20
265,40
266,60
267,100
268,70
269,100
270,90
271,120
272,200
273,50
274,20
275,60
276,60
277,20
278,50
279,50
280,50
281,50
282,120
283,30
284,80
285,70
286,40
287,110
288,60
289,40
290,40
291,50
292,60
293,40
294,160
295,40
296,70
297,80
298,70
299,70
300,30
301,110
302,60
303,80
304,40
305,100
306,50
307,50
308,80
309,40
310,200
311,60
312,90
313,80
314,50
315,120
316,60
317,60
318,50
319,50
320,50
321,320
322,40
323,50
324,100
325,50
326,220
327,70
328,40
329,60
330,60
331,70
332,60
333,60
334,170
335,60
336,190
337,50
338,50
339,60
340,40
341,60
342,70
343,100
344,30
345,410
346,60
347,60
348,50
349,60
350,60
351,100
352,340
353,60
354,130
355,80
356,260
357,60
358,40
359,60
360,120
361,100
362,50
363,100
364,50
365,50
366,90
367,540
368,50
369,80
370,80
371,50
372,610
373,100
374,70
375,60
376,110
377,60
378,70
379,360
380,80
381,100
382,20
383,50
384,50
385,80
386,100
387,50
388,50
389,40
390,120
391,50
392,40
393,50
394,170
395,60
396,60
397,100
398,80
399,50
400,50
401,60
402,100
403,60
404,20
405,100
406,60
407,190
408,120
409,290
410,50
411,110
412,30
413,60
414,190
415,50
416,70
417,70
418,20
419,120
420,60
421,40
422,60
423,260
424,70
425,100
426,40
427,100
428,100
429,350
430,40
431,70
432,40
433,60
434,50
435,50
436,80
437,40
438,310
439,70
440,70
441,50
442,50
443,100
444,480
445,70
446,50
447,340
448,50
449,90
450,230
451,50
452,50
453,50
454,50
455,60
456,50
457,50
458,170
459,110
460,40
461,280
462,60
463,110
464,40
465,80
466,220
467,100
468,60
469,60
470,90
471,60
